sku_name,brand,manufacturer,flavor,strength_mg,pouches_per_can,format,status,fda_status_raw,tobacco_free,synthetic_nicotine,verified_source
FRE Mint 3mg,FRE,Turning Point Brands,Mint,3,20,Slim,pending,PMTA Submitted (Not Authorized as of May 2026),true,true,FRE not in FDA authorized list as of May 2026
FRE Mint 9mg,FRE,Turning Point Brands,Mint,9,20,Slim,pending,PMTA Submitted (Not Authorized as of May 2026),true,true,FRE not in FDA authorized list as of May 2026
FRE Watermelon 12mg,FRE,Turning Point Brands,Watermelon,12,20,Slim,pending,PMTA Submitted (Not Authorized as of May 2026),true,true,FRE not in FDA authorized list as of May 2026
FRE Wintergreen 15mg,FRE,Turning Point Brands,Wintergreen,15,20,Slim,pending,PMTA Submitted (Not Authorized as of May 2026),true,true,FRE not in FDA authorized list as of May 2026
Lucy Berry Citrus 4mg,Lucy,Lucy Goods Inc.,Berry Citrus,4,15,Slim,pending,PMTA Submitted May 2022 (Not Authorized; under FDA review as of May 2026),true,true,https://lucy.co/products/breakers
Lucy Berry Citrus 8mg,Lucy,Lucy Goods Inc.,Berry Citrus,8,15,Slim,pending,PMTA Submitted May 2022 (Not Authorized as of May 2026),true,true,https://lucy.co/products/breakers
Lucy Cinnamon 8mg,Lucy,Lucy Goods Inc.,Cinnamon,8,15,Slim,pending,PMTA Submitted May 2022 (Not Authorized as of May 2026),true,true,https://lucy.co/products/pouches
Lucy Mango 12mg,Lucy,Lucy Goods Inc.,Mango,12,15,Slim,pending,PMTA Submitted May 2022 (Not Authorized as of August 2026),true,true,https://lucy.co/products/pouches
Lucy Mango 4mg,Lucy,Lucy Goods Inc.,Mango,4,15,Slim,pending,PMTA Submitted May 2022 (Not Authorized as of May 2026),true,true,https://lucy.co/products/pouches
Lucy Mint 8mg,Lucy,Lucy Goods Inc.,Mint,8,15,Slim,pending,PMTA Submitted May 2022 (Not Authorized as of May 2026),true,true,https://lucy.co/products/pouches
